Date,ETN,GEV,PH,PH weight,GEV weight,ETN weight,weightedReturn
2024-01-30,1.0062320468838342,0.0,1.0028540926617326,0.5,0.0,0.5,1.0045430697727835
2024-01-31,0.9832581238277271,0.0,0.9720421564666163,0.5,0.0,0.5,0.9776501401471718
2024-02-01,1.0751381337022698,0.0,1.0768136517373799,0.5,0.0,0.5,1.0759758927198249
2024-02-02,1.0209019366815932,0.0,1.0203527276589075,0.5,0.0,0.5,1.0206273321702504
2024-02-05,0.9974825446367025,0.0,0.9970803928189836,0.5,0.0,0.5,0.9972814687278431
2024-02-06,1.0063096391813102,0.0,1.0052666361336609,0.5,0.0,0.5,1.0057881376574855
2024-02-07,1.0063809524141236,0.0,1.0052193524793576,0.5,0.0,0.5,1.0058001524467406
2024-02-08,1.0013195278586733,0.0,1.0054025023653135,0.5,0.0,0.5,1.0033610151119934
2024-02-09,1.0173856439573303,0.0,1.0113866491689767,0.5,0.0,0.5,1.0143861465631536
2024-02-12,0.9859333326689762,0.0,0.9939007638374034,0.5,0.0,0.5,0.9899170482531898
2024-02-13,0.9939064191468895,0.0,0.987321615886153,0.5,0.0,0.5,0.9906140175165212
2024-02-14,1.011894969353966,0.0,1.0200924461277094,0.5,0.0,0.5,1.0159937077408379
2024-02-15,1.0006167021441705,0.0,0.9999234977818242,0.5,0.0,0.5,1.0002700999629974
2024-02-16,1.0062729030697746,0.0,0.9965317337248952,0.5,0.0,0.5,1.0014023183973348
2024-02-20,0.9948471147767158,0.0,0.9989810604888271,0.5,0.0,0.5,0.9969140876327715
2024-02-21,1.0038755319550396,0.0,1.008045632223549,0.5,0.0,0.5,1.0059605820892943
2024-02-22,1.0267716397718796,0.0,1.0120105424602053,0.5,0.0,0.5,1.0193910911160424
2024-02-23,1.0012299653629808,0.0,1.002018727909496,0.5,0.0,0.5,1.0016243466362384
2024-02-26,0.9977887820681007,0.0,0.9995102553286017,0.5,0.0,0.5,0.9986495186983513
2024-02-27,0.9974324649145058,0.0,1.0012811999393543,0.5,0.0,0.5,0.99935683242693
2024-02-28,1.0119546191348723,0.0,0.9992661395595499,0.5,0.0,0.5,1.005610379347211
2024-02-29,1.0071090754406617,0.0,1.008190691053143,0.5,0.0,0.5,1.0076498832469025
2024-03-01,1.0162630103756254,0.0,1.0043886574636947,0.5,0.0,0.5,1.01032583391966
2024-03-04,1.0098058633050115,0.0,0.9957418814789071,0.5,0.0,0.5,1.0027738723919593
2024-03-05,0.9843213912088097,0.0,0.9859763201866966,0.5,0.0,0.5,0.9851488556977531
2024-03-06,1.016476194552948,0.0,1.0061171698199929,0.5,0.0,0.5,1.0112966821864704
2024-03-07,1.0147942903197953,0.0,1.015530060904295,0.5,0.0,0.5,1.015162175612045
2024-03-08,0.9910055591867906,0.0,0.9960516474077076,0.5,0.0,0.5,0.993528603297249
2024-03-11,0.9838988718061228,0.0,0.9975622473300182,0.5,0.0,0.5,0.9907305595680704
2024-03-12,1.017218820215414,0.0,1.0041788753231977,0.5,0.0,0.5,1.010698847769306
2024-03-13,1.0083965951591636,0.0,1.0023777927416821,0.5,0.0,0.5,1.0053871939504229
2024-03-14,1.000166696626771,0.0,0.9938654264936894,0.5,0.0,0.5,0.9970160615602301
2024-03-15,0.99204085737797,0.0,0.9984522367761293,0.5,0.0,0.5,0.9952465470770496
2024-03-18,1.0028533638124708,0.0,1.0015688054730152,0.5,0.0,0.5,1.002211084642743
2024-03-19,1.0140920990219726,0.0,1.0048111924558418,0.5,0.0,0.5,1.009451645738907
2024-03-20,1.022610234486633,0.0,1.0141414768257941,0.5,0.0,0.5,1.0183758556562137
2024-03-21,1.0184303773878245,0.0,1.0259487985781492,0.5,0.0,0.5,1.0221895879829868
2024-03-22,1.0033596436800618,0.0,0.9897439304224821,0.5,0.0,0.5,0.9965517870512719
2024-03-25,0.9851540512131264,0.0,0.9921425964656019,0.5,0.0,0.5,0.9886483238393642
2024-03-26,1.0006410956820213,0.0,0.9975112547108758,0.5,0.0,0.5,0.9990761751964485
2024-03-27,1.007433835605392,0.0,1.0161884632490643,0.5,0.0,0.5,1.0118111494272282
2024-03-28,0.9945294893777559,1.0419046832229806,0.9959501691714929,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0107947805907431
2024-04-01,0.9979213682500917,1.0385372390942844,0.9913996649844048,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0092860907762602
2024-04-02,1.008716901573459,0.9857767574669274,0.9935209947215988,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9960048845873283
2024-04-03,1.0196664319205766,0.9810000963779082,1.0203309494386095,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.006999159245698
2024-04-04,0.9975697020443169,0.9178680063906905,0.9947723769741104,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9700700284697059
2024-04-05,1.032327407720021,0.9733459508168419,1.019832719462376,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0085020259997464
2024-04-08,0.9858099542321821,1.059168921752676,0.9986939678002457,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0145576145950346
2024-04-09,0.9633231004160068,1.01700513802695,0.9919072898989723,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9907451761139763
2024-04-10,1.0015932777813878,1.0469092687695303,0.9893470321390555,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.012616526229991
2024-04-11,1.009192913132361,0.9869915573018653,1.000756225464376,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9989802319662007
2024-04-12,1.0039085375701968,0.9811816429116766,0.9901580890618856,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9917494231812529
2024-04-15,0.9898900564077278,0.9832090153563618,0.9873711606377348,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.986823410800608
2024-04-16,1.000222043362252,0.9872486000464055,1.0014170313342805,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9962958915809793
2024-04-17,0.9836054742483894,1.035980399718112,0.9934389653867761,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.004341613117759
2024-04-18,0.9960025517306124,1.0183302310319473,0.9954125126343442,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0032484317989678
2024-04-19,0.9808375182227163,0.9845505069321314,0.9936069324916372,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9863316525488283
2024-04-22,1.0167314978467157,1.0117690857246568,1.0094828659520094,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.012661149841127
2024-04-23,1.0154176066487073,1.0814981280626126,1.0197881208162842,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0389012851758679
2024-04-24,1.0190192868943464,0.9888384659192215,0.9926418340135493,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0001665289423722
2024-04-25,0.9946987266825376,1.0145712575849075,1.0055457443118068,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.004938576193084
2024-04-26,1.0227056555244485,1.032094793626685,1.0077540630106905,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0208515040539412
2024-04-29,1.0068149698859472,1.0388059014546522,1.0014451720323774,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0156886811243255
2024-04-30,0.9747326287363143,0.9666687535456877,0.9828113485899553,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.974737576957319
2024-05-01,0.9804249540253955,0.9867283416136308,0.9964214084883728,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9878582347091329
2024-05-02,1.010383431642048,1.0142414336717198,0.9773833372495242,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0006694008544306
2024-05-03,1.0196291170893421,1.0808033763071094,1.0103640246084453,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.036932172668299
2024-05-06,1.0210295547253854,1.0173222234791135,1.0272482147901894,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0218666643315626
2024-05-07,1.0005805969527122,0.9894763129888906,0.9988925880648472,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9963164993354832
2024-05-08,1.0090707077405048,0.9799234630472827,1.008597315134876,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9991971619742211
2024-05-09,1.0086561497277087,1.0146340939537146,1.0133926418268784,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0122276285027672
2024-05-10,0.9919280706938978,1.0052283285299226,1.000784680568001,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993136932639404
2024-05-13,0.993768432903545,0.9656842269495078,0.9820007511418998,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9804844703316509
2024-05-14,1.0059056134183095,1.0253823196249048,0.997041844940522,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0094432593279121
2024-05-15,1.0227264679958306,1.0135240660911902,1.0070443257671764,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.014431619951399
2024-05-16,0.9769795712671946,0.9912432726353753,0.9750933574678947,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9811054004568216
2024-05-17,1.000181733783884,0.9772835315060522,1.010417107448241,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9959607909127257
2024-05-20,1.0091145005640019,0.9897307770041885,1.0053018301481311,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0013823692387738
2024-05-21,1.0104427063090708,1.018515084072232,0.9979379900976759,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0089652601596595
2024-05-22,0.9983664806512226,0.9995121255759992,0.9985369130035937,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9988051730769385
2024-05-23,1.0066633276510508,0.9866950535933011,0.9642904252985196,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9858829355142904
2024-05-24,1.0072985048742364,1.0974824675722676,1.0061910138454075,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0369906620973037
2024-05-28,0.989644770844679,1.0037197982190302,0.9937907260174438,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9957184316937175
2024-05-29,0.9867500986006178,0.9956762613011497,0.9936378111187741,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9920213903401806
2024-05-30,1.0039352392673968,0.9873676071575959,1.0024270600911973,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.99790996883873
2024-05-31,0.995960456433225,1.0046835971663803,1.0134614447186967,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0047018327727673
2024-06-03,0.9747934134035664,0.9685615472307301,0.9653070154496617,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9695539920279859
2024-06-04,0.9744498732241937,0.9569760655817874,0.9987721349558012,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9767326912539274
2024-06-05,1.032956886753937,1.0027601429829778,1.0209775991764356,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0188982096377834
2024-06-06,0.9597967151913849,0.9805492275954145,0.9847476969871918,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9750312132579969
2024-06-07,1.004370695064474,1.0110411444804979,1.0017858551746548,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.005732564906542
2024-06-10,1.0258868630028208,1.02813419004568,1.019103160246954,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0243747377651515
2024-06-11,0.9882038099114498,1.0095414557392477,0.9942965905368506,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9973472853958494
2024-06-12,1.0250648501819648,1.0552220908027576,1.0190442582791672,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0331103997546298
2024-06-13,1.0036066292670645,0.9923951640051855,0.9923819429920224,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9961279120880907
2024-06-14,0.9715852767554255,0.9659420207329246,0.951597663449841,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9630416536460635
2024-06-17,1.019779193855556,0.9917141616159689,1.0054241397205397,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0056391650640215
2024-06-18,1.0069468111541329,1.0640555145857016,1.0015809222353682,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0241944159917342
2024-06-20,0.9867211798251398,0.9866903100667425,1.002288725091084,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9919000716609887
2024-06-21,0.9901622782740375,0.9918162028913674,0.9924606029570688,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9914796947074911
2024-06-24,1.0063111759894972,1.0137143535444413,1.0121588197402043,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0107281164247142
2024-06-25,1.0021114155634359,1.0185809166844633,0.9902211964950557,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0036378429143182
2024-06-26,0.9767938006689332,0.9920087903643615,0.9947159987835127,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9878395299389358
2024-06-27,0.9957812170981275,0.979333424204971,1.0031633697340827,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9927593370123936
2024-06-28,0.9987579224299438,0.9729405450987585,1.0031533326992372,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9916172667426464
2024-07-01,0.9962365061398859,0.9767361658679584,0.9905104636388365,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.987827711882227
2024-07-02,1.002913281500933,1.013669985439722,1.0180035242747991,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0115289304051513
2024-07-03,1.0164071140501942,1.0169011950394589,1.0052742684217966,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.012860859170483
2024-07-05,0.9967024959026827,1.0205583343946887,0.98591822777964,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0010596860256704
2024-07-08,1.0050098383952035,0.9894455266655862,1.0064687525437281,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0003080392015058
2024-07-09,0.9992162044699002,0.9920284494711485,0.9998231484118599,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9970226007843028
2024-07-10,1.026230776253108,1.0390218938809046,1.028485295671365,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0312459886017926
2024-07-11,1.0053505240332143,0.983141420879316,1.0095382379031974,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993433942719092
2024-07-12,1.0050485103982931,1.021222422123303,1.0184413988818142,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0149041104678034
2024-07-15,0.9895604567771121,0.983319617756376,1.012716074509568,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9951987163476854
2024-07-16,1.0166039889561207,1.0298690833486683,1.0439475362782877,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0301402028610256
2024-07-17,0.9369549146420325,0.9074641716308744,0.9811141823018471,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9418444228582513
2024-07-18,0.9921991079472241,0.973828718966437,0.9815928157731907,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9825402142289505
2024-07-19,1.009124176623507,1.011455807373472,0.9944860290322816,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0050220043430869
2024-07-22,1.0270285397827745,1.0209378257133674,1.0137149445933964,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0205604366965129
2024-07-23,1.0050575598619047,1.0223675660832146,0.9991669749858159,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.008864033643645
2024-07-24,0.9306081376879582,0.9554811887026304,0.9593954687783652,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9484949317229845
2024-07-25,0.9775701547454445,0.9821976055256695,1.0299850233546581,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9965842612085907
2024-07-26,1.0167644789550205,1.0819376335913666,1.0173903498187011,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0386974874550294
2024-07-29,0.9960374349876904,0.9938766536582863,0.9890195449475472,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9929778778645079
2024-07-30,0.9684097356527844,0.9456552295322723,1.0049038285765868,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9729895979205477
2024-07-31,1.0610987848097901,1.095513317849075,1.018051211680249,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0582211047797045
2024-08-01,0.9773286290519179,0.9763801536785982,0.9525625414638391,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.968757108064785
2024-08-02,0.9408487711809713,0.9465609508160625,0.9700116204621606,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9524737808197314
2024-08-05,0.9756549630826457,0.9848844470927292,0.9764711259611903,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9790035120455216
