Date,VST,CEG,CEG weight,VST weight,weightedReturn
2023-08-04,1.0214744801831015,1.027684496911152,0.5,0.5,1.0245794885471269
2023-08-07,1.0056062033161703,0.9981718131554689,0.5,0.5,1.0018890082358196
2023-08-08,1.0041812459601385,1.0102170906613692,0.5,0.5,1.0071991683107537
2023-08-09,1.0517001229004506,1.0028622314053208,0.5,0.5,1.0272811771528856
2023-08-10,1.0125370846282031,1.0058034652038033,0.5,0.5,1.0091702749160032
2023-08-11,0.9820788878910046,1.010641403013623,0.5,0.5,0.9963601454523139
2023-08-14,1.0059722176996568,1.0041291148766123,0.5,0.5,1.0050506662881347
2023-08-15,0.9973613311854025,0.9928971151111958,0.5,0.5,0.9951292231482991
2023-08-16,0.9943782456821332,0.9892696375799954,0.5,0.5,0.9918239416310644
2023-08-17,0.9880279535095157,0.9973359334366843,0.5,0.5,0.9926819434731
2023-08-18,1.0050489457903462,0.999522809922768,0.5,0.5,1.002285877856557
2023-08-21,1.004688527529947,1.0127899965348104,0.5,0.5,1.0087392620323787
2023-08-22,0.9886667404704178,1.001413654204637,0.5,0.5,0.9950401973375274
2023-08-23,1.022589234112486,1.0205157494284047,0.5,0.5,1.0215524917704455
2023-08-24,0.9894493860527287,0.9859829434665749,0.5,0.5,0.9877161647596517
2023-08-25,1.0036654115052321,0.9901796773038243,0.5,0.5,0.9969225444045282
2023-08-28,0.9950199773084365,0.9952771863808156,0.5,0.5,0.9951485818446261
2023-08-29,1.0150149733189107,1.0016134323178334,0.5,0.5,1.008314202818372
2023-08-30,1.0299146043670344,1.0018948556714071,0.5,0.5,1.0159047300192208
2023-08-31,1.0028726880803431,0.9850579084538286,0.5,0.5,0.9939652982670859
2023-09-01,1.0117758817292883,1.0300497033500442,0.5,0.5,1.0209127925396664
2023-09-05,1.0223339418072985,0.9884426760379472,0.5,0.5,1.005388308922623
2023-09-06,1.0095385018271563,1.0055634990642315,0.5,0.5,1.007551000445694
2023-09-07,1.0170678397198265,1.0178168281249886,0.5,0.5,1.0174423339224075
2023-09-08,1.0206775623284992,1.0009213844692413,0.5,0.5,1.0107994733988703
2023-09-11,0.9891368128803628,1.0123343143666494,0.5,0.5,1.0007355636235062
2023-09-12,1.0002964398897627,0.9865429328049041,0.5,0.5,0.9934196863473335
2023-09-13,0.9845701235440861,1.007096660507047,0.5,0.5,0.9958333920255666
2023-09-14,0.9957802532415972,1.0291938749156586,0.5,0.5,1.0124870640786279
2023-09-15,0.9960657127675653,0.9775029995010902,0.5,0.5,0.9867843561343277
2023-09-18,1.0176235621160155,1.0073682960525745,0.5,0.5,1.012495929084295
2023-09-19,0.9959740439834376,0.9981941905403522,0.5,0.5,0.9970841172618949
2023-09-20,0.9755656061732365,0.9962908701888167,0.5,0.5,0.9859282381810266
2023-09-21,1.0343228446580623,0.9982747288570021,0.5,0.5,1.0162987867575322
2023-09-22,0.9931243468199462,1.0038202108458585,0.5,0.5,0.9984722788329023
